BAG:tansat remove Găng sắt lydo: Mặc vào người at 01/30/2023 6:55 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 6:55 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 6:57 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 6:57 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 6:57 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 6:58 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 6:58 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 7:00 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 7:00 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 7:01 PM
BAG:tansat remove 1xĐậu thần cấp 1 lydo: Ăn đậu at 01/30/2023 7:04 PM
