BAG:gaysaiyan remove Mảnh Quỷ đất lydo: Tự Xóa vật phẩm at 01/31/2023 9:23 AM
BAG:gaysaiyan remove Găng đồng lydo: Mặc vào người at 01/31/2023 10:24 AM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 10:36 AM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 11:08 AM
BAG:gaysaiyan remove Cải trang Hit lydo: Mặc cho đệ tử at 01/31/2023 11:09 AM
BAG:gaysaiyan remove Rada cấp 1 lydo: Mặc cho đệ tử at 01/31/2023 11:09 AM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 11:09 AM
BAG:gaysaiyan remove Cải trang Hit lydo: Mặc vào người at 01/31/2023 11:10 AM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 11:11 AM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 11:13 AM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:33 PM
BAG:gaysaiyan remove Găng đồng lydo: Mặc cho đệ tử at 01/31/2023 12:33 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:34 PM
BAG:gaysaiyan remove Cải trang Chill cấp 2 lydo: Tự Xóa vật phẩm at 01/31/2023 12:34 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:36 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:37 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:38 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:40 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:41 PM
BAG:gaysaiyan remove 1xNâng cấp kỹ năng 1 đệ tử lydo: Dùng sách kĩ năng đệ tử at 01/31/2023 12:41 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:42 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:43 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:43 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:44 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:45 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 5 lydo: Ăn đậu at 01/31/2023 12:45 PM
BAG:gaysaiyan remove Găng bạc lydo: Mặc vào người at 01/31/2023 12:46 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 4 lydo: Ăn đậu at 01/31/2023 12:46 PM
BAG:gaysaiyan remove Đá Titan lydo: Tự Xóa vật phẩm at 01/31/2023 12:46 PM
BAG:gaysaiyan remove Đá lục bảo lydo: Tự Xóa vật phẩm at 01/31/2023 12:46 PM
BAG:gaysaiyan remove Bột mì lydo: Tự Xóa vật phẩm at 01/31/2023 12:47 PM
BAG:gaysaiyan remove 1xĐậu thần cấp 4 lydo: Ăn đậu at 01/31/2023 12:47 PM
BAG:gaysaiyan remove Đá thạch anh tím lydo: Tự Xóa vật phẩm at 01/31/2023 12:47 PM
BAG:gaysaiyan remove Đá Saphia lydo: Tự Xóa vật phẩm at 01/31/2023 12:47 PM
